theta,method,rmse,bias,std,power
0.0%,Event Study,20.7003,-6.7403,19.5722,4.8
0.1%,Event Study,20.7642,-6.4917,19.7233,10.6
0.3%,Event Study,19.9460,-7.2370,18.5868,73.2
0.5%,Event Study,21.4173,-6.1874,20.5040,99.2
1.0%,Event Study,20.0257,-7.9954,18.3603,100.0
0.0%,DiD classic,0.1144,-0.0462,0.1047,5.2
0.1%,DiD classic,0.1166,-0.0458,0.1073,8.4
0.3%,DiD classic,0.1123,-0.0495,0.1008,69.6
0.5%,DiD classic,0.1164,-0.0439,0.1078,99.4
1.0%,DiD classic,0.1119,-0.0531,0.0984,100.0
0.0%,DML + OLS,0.1109,0.0124,0.1102,4.6
0.1%,DML + OLS,0.1164,0.0155,0.1154,17.0
0.3%,DML + OLS,0.1082,0.0126,0.1074,83.0
0.5%,DML + OLS,0.1165,0.0181,0.1151,99.6
1.0%,DML + OLS,0.1040,0.0066,0.1038,100.0
0.0%,DML + RF,0.1716,-0.1153,0.1271,15.0
0.1%,DML + RF,0.1746,-0.1117,0.1341,5.4
0.3%,DML + RF,0.1691,-0.1066,0.1313,30.6
0.5%,DML + RF,0.1644,-0.0930,0.1356,86.4
1.0%,DML + RF,0.1498,-0.0803,0.1265,100.0
0.0%,DML + CatBoost,0.1541,-0.0709,0.1368,8.0
0.1%,DML + CatBoost,0.1542,-0.0546,0.1442,5.2
0.3%,DML + CatBoost,0.1534,-0.0536,0.1438,40.6
0.5%,DML + CatBoost,0.1499,-0.0357,0.1456,87.8
1.0%,DML + CatBoost,0.1358,-0.0167,0.1348,100.0
